task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
31	ab/219fd1	273757	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-12240_S49_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:50:51.606	56.8s	55.3s	111.3%	633.6 MB	36 GB	963 MB	5.3 KB
24	a2/5c0cd9	276953	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (3312)	COMPLETED	0	2025-09-30 12:51:10.369	43.7s	42.4s	112.8%	828.8 MB	4.4 GB	370.3 MB	2.1 MB
15	11/2853e2	278940	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2774)	COMPLETED	0	2025-09-30 12:51:28.542	30.9s	29.4s	120.9%	742.9 MB	4.3 GB	251.6 MB	2 MB
26	18/bde049	272399	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-1658_S47_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:50:42.493	1m 33s	1m 32s	108.2%	616.6 MB	36 GB	1.5 GB	8.6 KB
20	e4/a8e130	268131	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (1658)	COMPLETED	0	2025-09-30 12:50:02.043	2m 20s	2m 19s	461.0%	4.3 GB	4.7 GB	1.5 GB	1.3 GB
18	0a/b43313	281660	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2774)	COMPLETED	0	2025-09-30 12:51:54.116	36.7s	35.4s	117.1%	749.2 MB	4.3 GB	254.1 MB	2 MB
37	c6/bf622b	280919	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (12240)	COMPLETED	0	2025-09-30 12:51:48.437	56.6s	55.4s	110.0%	753 MB	4.3 GB	490.8 MB	2.1 MB
30	eb/524411	284510	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (544)	COMPLETED	0	2025-09-30 12:52:15.753	56.7s	55.4s	108.4%	748.5 MB	4.3 GB	487.4 MB	2.1 MB
28	50/cfe599	285326	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (544)	COMPLETED	0	2025-09-30 12:52:21.971	58.8s	57.4s	109.9%	743.2 MB	4.2 GB	485.8 MB	2.1 MB
4	ea/7d6d11	286593	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2769)	COMPLETED	0	2025-09-30 12:52:30.800	54.7s	53.4s	111.8%	805.1 MB	4.3 GB	470 MB	2 MB
33	dc/fbaf6e	282553	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (1658)	COMPLETED	0	2025-09-30 12:51:59.451	1m 31s	1m 29s	106.2%	826.1 MB	4.3 GB	768.9 MB	2 MB
34	ef/de69bc	288324	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (561)	COMPLETED	0	2025-09-30 12:52:45.042	51.8s	50.4s	111.0%	750.8 MB	4.1 GB	437.9 MB	2.1 MB
27	bd/f657ad	293096	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (671)	COMPLETED	0	2025-09-30 12:53:29.967	32s	30.4s	119.2%	754.5 MB	4.4 GB	256.2 MB	2 MB
11	8b/3ddff9	291496	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2759)	COMPLETED	0	2025-09-30 12:53:20.739	45.7s	44.4s	112.5%	741 MB	4.3 GB	380.7 MB	2.1 MB
